S9,S5,S1,S8,S4,S3
TCN2,31.5803510118391,189.352763583088,0.000461739872052042,0.0127079366423962,3759.30195767988,1639.67054041206
DDAH1,1187.86311707224,1.17585419851585e-05,346.357298539712,374.795933299115,672.394317528447,2.64416756738908e-08
MMP23B,839.257272385089,231.157992351421,501.919512401474,0.83044059297534,512.576754642726,600.007098337457
MSC,1.83522631741264,484.487442852932,0.858019233988891,1483.11909398379,459.788198989871,1128.2299235732
THAP7,788.067221025737,7.40474625465873,409.494953103817,115.718106986311,4603.16673017301,1990.7364184432
FAM46C,232.374151713282,775.286192429901,0.0666994762598818,3.54997227912263,622.988787417175,288.172841827481
TFPT,732.754216041507,57.0568348302632,162.476209122191,308.114363130933,4965.95987521596,992.860609796834
LOC255167,717.694702809735,686.507185028709,59.9264936984299,866.228808884726,1.47644745414702e-26,412.392429675956
BAMBI,1576.60947818729,0.409834939105888,910.896408863924,473.188471973831,1.94551059626163e-13,765.641643129647
GSTM2,925.573945308192,949.186179506116,17.5300860406609,5.23129695297418,3604.33531276239,2.29280654941155
SHANK3,1.85056262597025,49.0071444172552,204.371834071052,783.960074746087,0.00123002663792652,0.000162745305866737
RAB17,990.114606264216,1255.08959142541,538.261745570597,5.83725657709274e-07,21.5753562878154,516.335412126237
ADAM8,293.458491604175,226.850328365034,1450.58058335026,14.971804935846,2.65973433595937,1072.5168752597
SLC41A1,196.452409883917,1195.92480405843,316.616887143561,1089.66216978865,764.577627908412,0.0103239835122922
LINGO1,340.91180799858,519.944777832764,366.943490718096,776.021008756846,2575.18900593078,1979.8619501702
LOC100288778,1998.78354219279,662.552468057291,398.62519741954,450.804026331941,3714.01295073752,175.545914918916
CLEC2B,603.837999715633,977.122746721786,363.843160237608,0.594313335523498,954.24654952457,446.99185752533
UNC13D,502.413436380639,23.1499720416943,26.8131607502087,354.422926357274,296.221358213316,603.203887946812
MS4A7,0.000461385553035753,501.167092481402,1.37356160217781e-05,772.92281261966,950.425586558896,714.093893402834
ECM2,707.408677172868,907.60695558484,0.0220411589311937,504.910653745969,4.61193397379527e-08,2.66230735694833e-08
SLC12A6,2.7736646153632,438.304728798629,1644.99292377884,608.77980029635,2.83722097513172e-05,2.85506192878701e-05
IL2RB,3.12738956728361e-10,606.155360790832,80.1990037752028,3.81808559402475e-05,9.00607354247699e-08,1875.36212703134
FHDC1,51.5940345089601,166.60332269325,864.232688280908,4.99192083841802,1.52400992610477e-10,545.219875465171
SYT11,0.145102219797068,1038.190915095,387.257575041783,922.782942200327,84.9569115286916,3.51373779588285e-08
ITGAM,321.138356423146,816.844735425035,358.324136442331,155.158782151699,429.355621312439,385.47622853453
GRB7,1581.46048874787,759.380589927096,842.767698476842,5.39802398748624,3.04355741376897e-09,1052.9279267039
CYFIP2,898.970126121459,806.753846139999,911.763821128422,949.480202739717,0.00231717485323388,39.2840371420483
LRFN4,450.266384236897,290.820459227612,505.67031144037,421.815843729664,3693.94127266974,704.55424699835
DSC2,54.6017135706275,889.384499162332,1241.66956183739,396.347058902972,3.93131336713802,3.92310857917916e-15
C3AR1,199.458629173056,630.223215858609,0.0793180135871347,192.858692919757,923.2149929293,662.826340815425
DNAJB4,37.5732412632955,475.74165013463,403.895430859009,235.846997869684,3.16898425636282e-13,0.839425058049491
ARID5A,829.353570074926,319.064833772786,1.97237960716409,32.6550861907339,1328.82033704871,1132.33050861888
